Rank,Hoop Intellect | 12/8,No Ceilings | 12/15,Yahoo | 12/18,Global Scouting | 12/3,The Ringer | 8/2,Athletic | 12/6,NBA Big Board | 8/21,ESPN | 11/30,Bleacher Report | 12/21
1,Alexandre Sarr,Alexandre Sarr,Alexandre Sarr,Isaiah Collier,Matas Buzelis,Isaiah Collier,Justin Edwards,Isaiah Collier,Matas Buzelis
2,Isaiah Collier,Ja'Kobe Walter,Cody Williams,Ron Holland,Ron Holland,Nikola Topic,Matas Buzelis,Alexandre Sarr,Nikola Topic
3,Nikola Topic,Stephon Castle,Zaccharie Risacher,Alexandre Sarr,Ja'Kobe Walter,Alexandre Sarr,Ron Holland,Zaccharie Risacher,Ron Holland
4,Ron Holland,Nikola Topic,Nikola Topic,Nikola Topic,Stephon Castle,Zaccharie Risacher,Elmarko Jackson,Ja'Kobe Walter,Alexandre Sarr
5,Zaccharie Risacher,Isaiah Collier,Ja'Kobe Walter,Matas Buzelis,Izan Almansa,Cody Williams,Isaiah Collier,Ron Holland,Cody Williams
6,Matas Buzelis,Cody Williams,Stephon Castle,Stephon Castle,Aday Mara,Reed Sheppard,Donovan Clingan,Donovan Clingan,Zaccharie Risacher
7,Stephon Castle,Justin Edwards,Ron Holland,Ja'Kobe Walter,Elliot Cadeau,Ja'Kobe Walter,Tyrese Proctor,Matas Buzelis,Ja'Kobe Walter
8,Ja'Kobe Walter,Zaccharie Risacher,Isaiah Collier,Zaccharie Risacher,Justin Edwards,Ron Holland,Stephon Castle,Nikola Topic,Isaiah Collier
9,Cody Williams,Ryan Dunn,Matas Buzelis,Cody Williams,Donovan Clingan,Matas Buzelis,DJ Wagner,Stephon Castle,Stephon Castle
10,Ryan Dunn,Ron Holland,Robert Dillingham,Donovan Clingan,Tyrese Proctor,Ryan Dunn,Aaron Bradshaw,Justin Edwards,Robert Dillingham
11,Robert Dillingham,Donovan Clingan,Donovan Clingan,Ryan Dunn,Elmarko Jackson,Stephon Castle,Riley Kugel,Kyle Filipowski,Tidjane Salaun
12,Reed Sheppard,Matas Buzelis,Tidjane Salaun,Carlton Carrington,Caleb Foster,Oso Ighodaro,Ja'Kobe Walter,Cody Williams,Ryan Dunn
13,Donovan Clingan,Reed Sheppard,Kyle Filipowski,Izan Almansa,DJ Wagner,Donovan Clingan,Zvonimir Ivisic,Izan Almansa,Donovan Clingan
14,Kel'el Ware,Robert Dillingham,Justin Edwards,Kel'el Ware,Isaiah Collier,Justin Edwards,Cody Williams,Tyrese Proctor,Terrence Shannon Jr.
15,Izan Almansa,Trey Alexander,Tyrese Proctor,Robert Dillingham,Melvin Ajinca,Robert Dillingham,Izan Almansa,DJ Wagner,Reed Sheppard
16,Carlton Carrington,Kyle Filipowski,Kel'el Ware,Kyle Filipowski,Thierry Darlan,Dalton Knecht,Garwey Dual,Tidjane Salaun,Kyle Filipowski
17,DJ Wagner,Tyler Smith,Reed Sheppard,DJ Wagner,Alexandre Sarr,Trey Alexander,Jared McCain,Bobi Klintman,Kevin McCullar
18,Tyrese Proctor,Dalton Knecht,Aaron Bradshaw,Tyrese Proctor,Jared McCain,Tyler Smith,Yves Missi,Ryan Dunn,DJ Wagner
19,Kobe Johnson,Kevin McCullar,Tyler Smith,Reed Sheppard,Kyle Filipowski,Kyle Filipowski,Thierry Darlan,Oso Ighodaro,Yves Missi
20,Kyle Filipowski,Tyrese Proctor,Ryan Dunn,Kevin McCullar,Cody Williams,Kobe Johnson,Elliot Cadeau,Robert Dillingham,Kel'el Ware
21,Tyler Smith,Adem Bona,Trey Alexander,Trey Alexander,Kel'el Ware,Izan Almansa,Kyle Filipowski,Jared McCain,Dalton Knecht
22,Dalton Knecht,Carlton Carrington,Kylan Boswell,Aday Mara,Riley Kugel,Bub Carrington,Oso Ighodaro,Kel'el Ware,Tristan Da Silva
23,Kevin McCullar,Bobi Klintman,AJ Johnson,Justin Edwards,Berke Buyuktuncel,Tyrese Proctor,Bobi Klintman,Kevin McCullar,Bobi Klintman
24,Adem Bona,Trevon Brazile,Bobi Klintman,Trevon Brazile,Baba Miller,Adem Bona,Trevon Brazile,Tyler Smith,Trevon Brazile
25,Terrence Shannon Jr.,Kobe Johnson,Carlton Carrington,Kobe Johnson,Zaccharie Risacher,Terrence Shannon Jr.,Baba Miller,Reed Sheppard,Ajay Mitchell
26,Justin Edwards,Riley Kugel,Trentyn Flowers,Tyler Smith,Bobi Klintman,Tyler Kolek,Omaha Biliew,Trevon Brazile,Oso Ighodaro
27,Tidjane Salaun,Izan Almansa,Terrence Shannon Jr.,Judah Mintz,AJ Johnson,Kevin McCullar,Kel'el Ware,Juan Nunez,Wooga Poplar
