Rank,Hoop Intellect | 5/22,No Ceilings | 6/7,Box and One | 6/11,Yahoo | 6/5,Global Scouting | 6/3,The Ringer | 6/9,Athletic | 5/17,NBA Big Board | 5/31,ESPN |6/6,Bleacher Report | 6/2
1,Victor Wembanyama,Victor Wembanyama,Victor Wembanyama,Victor Wembanyama,Victor Wembanyama,Victor Wembanyama,Victor Wembanyama,Victor Wembanyama,Victor Wembanyama,Victor Wembanyama
2,Scoot Henderson,Scoot Henderson,Scoot Henderson,Scoot Henderson,Scoot Henderson,Brandon Miller,Scoot Henderson,Brandon Miller,Brandon Miller,Brandon Miller
3,Amen Thompson,Brandon Miller,Brandon Miller,Brandon Miller,Amen Thompson,Scoot Henderson,Brandon Miller,Scoot Henderson,Scoot Henderson,Scoot Henderson
4,Brandon Miller,Jarace Walker,Amen Thompson,Amen Thompson,Brandon Miller,Cam Whitmore,Amen Thompson,Cam Whitmore,Amen Thompson,Amen Thompson
5,Cam Whitmore,Cam Whitmore,Cam Whitmore,Cam Whitmore,Jarace Walker,Jarace Walker,Cam Whitmore,Amen Thompson,Cam Whitmore,Cam Whitmore
6,Ausar Thompson,Ausar Thompson,Anthony Black,Anthony Black,Ausar Thompson,Amen Thompson,Taylor Hendricks,Ausar Thompson,Ausar Thompson,Anthony Black
7,Jarace Walker,Amen Thompson,Jarace Walker,Jarace Walker,Cam Whitmore,Taylor Hendricks,Jarace Walker,Jarace Walker,Anthony Black,Jarace Walker
8,Taylor Hendricks,Taylor Hendricks,Ausar Thompson,Ausar Thompson,Cason Wallace,Ausar Thompson,Ausar Thompson,Cason Wallace,Jarace Walker,Ausar Thompson
9,Cason Wallace,Anthony Black,Jalen Hood-Schifino,Nick Smith Jr.,Anthony Black,Anthony Black,Anthony Black,Anthony Black,Taylor Hendricks,Gradey Dick
10,Anthony Black,Keyonte George,Taylor Hendricks,Taylor Hendricks,Taylor Hendricks,Cason Wallace,Dereck Lively II,Dereck Lively II,Gradey Dick,Taylor Hendricks
11,Gradey Dick,Jett Howard,Gradey Dick,Gradey Dick,Gradey Dick,Gradey Dick,Gradey Dick,Gradey Dick,Bilal Coulibaly,Keyonte George
12,Kobe Bufkin,Cason Wallace,Dereck Lively II,Bilal Coulibaly,Bilal Coulibaly,Dereck Lively II,Leonard Miller,Bilal Coulibaly,Nick Smith Jr.,Dereck Lively II
13,Keyonte George,Kobe Bufkin,Cason Wallace,Jordan Hawkins,Nick Smith Jr.,Jalen Hood-Schifino,Cason Wallace,Nick Smith Jr.,Cason Wallace,Bilal Coulibaly
14,Brice Sensabaugh,Brice Sensabaugh,Bilal Coulibaly,Keyonte George,Kobe Bufkin,Keyonte George,Kobe Bufkin,Taylor Hendricks,Jalen Hood-Schifino,Nick Smith Jr.
15,Jett Howard,Jordan Hawkins,Nick Smith Jr.,Jalen Hood-Schifino,Maxwell Lewis,Bilal Coulibaly,Nick Smith Jr.,Keyonte George,Noah Clowney,Cason Wallace
16,Dariq Whitehead,Jalen Hood-Schifino,Dariq Whitehead,Dereck Lively II,Jett Howard,Kobe Bufkin,Kris Murray,GG Jackson,Jett Howard,Jalen Hood-Schifino
17,Dereck Lively II,Bilal Coulibaly,Jordan Hawkins,Cason Wallace,Dereck Lively II,Nick Smith Jr.,Jordan Hawkins,Jett Howard,Keyonte George,Kobe Bufkin
18,Jordan Hawkins,Gradey Dick,Kobe Bufkin,Maxwell Lewis,Brandin Podziemski,Leonard Miller,Keyonte George,Olivier-Maxence Prosper,Rayan Rupert,Jordan Hawkins
19,Jalen Hood-Schifino,Dereck Lively II,Maxwell Lewis,Kobe Bufkin,Keyonte George,Colby Jones,Jalen Hood-Schifino,Jalen Hood-Schifino,Kobe Bufkin,Jett Howard
20,Bilal Coulibaly,Maxwell Lewis,Jett Howard,Leonard Miller,Leonard Miller,Jordan Hawkins,Dariq Whitehead,Jordan Hawkins,Jordan Hawkins,Brandin Podziemski
21,Sidy Cissoko,Colby Jones,Leonard Miller,Jett Howard,Jalen Hood-Schifino,Brandin Podziemski,Brice Sensabaugh,Leonard Miller,Brice Sensabaugh,Dariq Whitehead
22,Leonard Miller,James Nnaji,Keyonte George,Rayan Rupert,Jordan Hawkins,Ben Sheppard,Jett Howard,Kobe Bufkin,James Nnaji,Leonard Miller
23,Nick Smith Jr.,Kris Murray,Kris Murray,Kris Murray,Brice Sensabaugh,Olivier-Maxence Prosper,Noah Clowney,Noah Clowney,Jaime Jaquez Jr.,Maxwell Lewis
24,GG Jackson,GG Jackson,Noah Clowney,Noah Clowney,Dariq Whitehead,Kris Murray,Sidy Cissoko,Dariq Whitehead,Dariq Whitehead,Kris Murray
25,Maxwell Lewis,Marcus Sasser,Brandin Podziemski,GG Jackson,James Nnaji,Brice Sensabaugh,Colby Jones,Maxwell Lewis,Kris Murray,Brice Sensabaugh
26,Kris Murray,Nick Smith Jr.,GG Jackson,Ben Sheppard,Colby Jones,GG Jackson,Rayan Rupert,Rayan Rupert,Dereck Lively II,Noah Clowney
27,Brandin Podziemski,Leonard Miller,Rayan Rupert,Jaime Jaquez Jr.,Kris Murray,Jett Howard,GG Jackson,Brice Sensabaugh,Brandin Podziemski,Colby Jones
28,Colby Jones,Sidy Cissoko,Brice Sensabaugh,Amari Bailey,Ben Sheppard,Trayce Jackson-Davis,Maxwell Lewis,Sidy Cissoko,Maxwell Lewis,Amari Bailey
29,James Nnaji,Dariq Whitehead,Jaime Jaquez Jr.,Dariq Whitehead,Marcus Sasser,Noah Clowney,James Nnaji,James Nnaji,Colby Jones,Ben Sheppard
30,Rayan Rupert,Trayce Jackson-Davis,Ben Sheppard,Brice Sensabaugh,GG Jackson,Maxwell Lewis,Jaime Jaquez Jr.,Kris Murray,Olivier-Maxence Prosper,Jaime Jaquez Jr.
31,Noah Clowney,Julian Strawther,Olivier-Maxence Prosper,Trayce Jackson-Davis,Sidy Cissoko,Rayan Rupert,Andre Jackson,Terquavion Smith,Leonard Miller,GG Jackson
32,Marcus Sasser,Jaime Jaquez Jr.,Sidy Cissoko,Julian Strawther,Noah Clowney,James Nnaji,Marcus Sasser,Riley Kugel,Andre Jackson,Rayan Rupert
33,Julian Strawther,Brandin Podziemski,Julian Strawther,Keyontae Johnson,Trayce Jackson-Davis,Seth Lundy,Bilal Coulibaly,Julian Phillips,GG Jackson,James Nnaji
34,Jordan Walsh,Rayan Rupert,Kobe Brown,Terquavion Smith,Terquavion Smith,Jaime Jaquez Jr.,Jalen Wilson,Tucker DeVries,Julian Phillips,Andre Jackson
35,Amari Bailey,Noah Clowney,Colby Jones,Brandin Podziemski,Andre Jackson,Dariq Whitehead,Kobe Brown,Marcus Sasser,Tristan Vukcevic,Tristan Vukcevic
36,Terquavion Smith,Julian Phillips,Jalen Pickett,Sidy Cissoko,Rayan Rupert,Sidy Cissoko,Julian Phillips,Jalen Wilson,Ben Sheppard,Olivier-Maxence Prosper
37,Tristan Vukcevic,Terquavion Smith,Julian Phillips,Olivier-Maxence Prosper,Jordan Walsh,Jordan Walsh,Julian Strawther,Trayce Jackson-Davis,Marcus Sasser,Trayce Jackson-Davis
38,Nikola Djurisic,Ben Sheppard,Tristan Vukcevic,Jalen Wilson,Tristan Vukcevic,Tristan Vukcevic,Terquavion Smith,Julian Strawther,Trayce Jackson-Davis,Julian Phillips
39,Andre Jackson,Olivier-Maxence Prosper,Andre Jackson,Andre Jackson,Olivier-Maxence Prosper,Andre Jackson,Brandin Podziemski,Tyler Burton,Jordan Walsh,Julian Strawther
40,Trayce Jackson-Davis,Jaylen Clark,Nikola Djurisic,James Nnaji,Julian Strawther,Amari Bailey,Jaylen Clark,Reece Beekman,Sidy Cissoko,Jordan Walsh
41,Ben Sheppard,Jordan Walsh,Jordan Walsh,Julian Phillips,Kobe Brown,Julian Phillips,Ben Sheppard,Jordan Walsh,Terquavion Smith,Marcus Sasser
42,Jaime Jaquez Jr.,Amari Bailey,James Nnaji,Marcus Sasser,Amari Bailey,Keyontae Johnson,Jordan Walsh,Ousmane N'Diaye,Jalen Wilson,Keyontae Johnson
43,Olivier-Maxence Prosper,Andre Jackson,Marcus Sasser,Tristan Vukcevic,Julian Phillips,Marcus Sasser,Olivier-Maxence Prosper,Mike Miles Jr.,Amari Bailey,Sidy Cissoko
44,Mike Miles Jr.,Nikola Djurisic,Azuolas Tubelis,Ricky Council IV,Seth Lundy,Kobe Brown,Amari Bailey,Jaylen Clark,Kobe Brown,Kobe Brown
45,Keyontae Johnson,Adama Sanogo,Trayce Jackson-Davis,Emoni Bates,Jaime Jaquez Jr.,Julian Strawther,Omari Moore,Mouhamed Gueye,Keyontae Johnson,Seth Lundy
