name,abbr_name,club,age,height,weight,wingspan,length,bmi,headshot,logo
Cooper Flagg,C. Flagg,Duke,18.5,"6'7.75""",221 lbs,"7'0""",4.25,24.400000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5041939.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Dylan Harper,D. Harper,Rutgers,19.300000000000001,"6'4.5""",213 lbs,"6'10.5""",6,25.600000000000001,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5037871.png,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png
VJ Edgecombe,V. Edgecombe,Baylor,19.900000000000002,"6'4""",193 lbs,"6'7.5""",3.5,23.5,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5124612.png,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Ace Bailey,A. Bailey,Rutgers,18.900000000000002,"6'7.5""",203 lbs,"7'0.5""",5,22.600000000000001,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4873138.png,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png
Khaman Maluach,K. Maluach,Duke,18.800000000000001,"7'0.75""",253 lbs,"7'6.75""",6,24.800000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5203685.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Collin Murray-Boyles,C. Murray-Boyles,South Carolina,20,"6'6.5""",239 lbs,"7'0.75""",6.25,27.300000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5093267.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
Kon Knueppel,K. Knueppel,Duke,19.900000000000002,"6'5""",219 lbs,"6'6.25""",1.25,26,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5061575.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Tre Johnson,T. Johnson,Texas,19.300000000000001,"6'4.75""",190 lbs,"6'10.25""",5.5,22.700000000000003,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5238230.png,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png
Derik Queen,D. Queen,Maryland,20.5,"6'9.25""",248 lbs,"7'0.5""",3.25,26.400000000000002,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4869780.png,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png
Jeremiah Fears,J. Fears,Oklahoma,18.699999999999999,"6'2.5""",180 lbs,"6'5.25""",2.75,22.800000000000001,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5144091.png,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png
