pick_no,tier_no,prospect
1,1,C. Flagg
2,2,D. Harper
3,2,A. Bailey
4,2,V. Edgecombe
5,2,T. Johnson
6,2,J. Fears
7,2,C. Coward
8,3,K. Knueppel
9,3,C. Murray-Boyles
10,3,C. Bryant
11,2,N. Essengue
12,3,R. Fleming
13,3,N. Clifford
14,3,K. Maluach
15,3,T. Sorber
16,3,D. Queen
17,3,K. Jakucionis
18,3,E. Demin
19,3,D. Powell
20,3,J. Richardson
21,3,W. Riley
22,4,W. Clayton Jr.
23,4,B. Saraf
24,4,N. Traore
25,4,D. Wolf
26,4,L. McNeeley
27,4,N. Penda
28,4,H. Gonzalez
29,4,H. Yang
30,4,K. Jones
31,4,M. Shulga
32,6,J. Beringer
33,4,S. James
34,4,A. Martin
35,4,A. Thiero
36,4,K. Brea
37,4,J. Watkins
38,4,Y. Niederhauser
39,5,A. Newell
40,5,M. Raynaud
41,5,C. Lanier
42,5,R. Kalkbrenner
43,5,B. Markovic
44,5,T. Proctor
45,5,D. Pate
46,6,H. Sallis
47,6,J. Small
48,6,A. Toohey
49,6,J. Broome
50,6,A. Karaban
