pick_no,prospect
1,C. Flagg
2,D. Harper
3,A. Bailey
4,V. Edgecombe
5,T. Johnson
6,K. Knueppel
7,K. Maluach
8,J. Fears
9,D. Queen
10,C. Bryant
11,K. Jakucionis
12,N. Essengue
13,C. Murray-Boyles
14,E. Demin
15,C. Coward
16,N. Clifford
17,T. Sorber
18,J. Richardson
19,L. McNeeley
20,N. Traore
21,A. Newell
22,J. Beringer
23,D. Wolf
24,R. Fleming
25,W. Clayton Jr.
26,W. Riley
27,M. Raynaud
28,H. Gonzalez
29,D. Powell
30,B. Saraf
31,N. Penda
32,R. Kalkbrenner
33,A. Thiero
34,Y. Niederhauser
35,K. Jones
36,H. Yang
37,T. Proctor
38,B. Markovic
39,C. Lanier
40,A. Toohey
41,J. Broome
42,J. Watkins
43,K. Brea
44,J. Tonje
45,S. James
46,A. Martin
47,J. Small
48,M. Peavy
49,H. Sallis
50,R. Zikarsky
51,R. Luis Jr.
52,D. Pate
53,A. Williams
54,R. Nembhard
55,K. Sanders
56,E. Dixon
57,V. Goldin
58,I. Almansa
59,M. Sears
60,G. Nelson
61,L. Olbrich
62,M. Shulga
63,B. Williams
64,V. Lakhin
65,M. Faye
66,P. Sandfort
67,T. Bates
68,B. Barnhizer
69,C. Hunter
70,D. Cardwell
71,J. Moore
72,C. Omoruyi
73,J. Robinson
74,C. Hepburn
75,W. Richard
76,C. Matthews
77,S. Niang
78,C. Love
79,D. Joplin
80,I. Jr.
81,J. Moni
82,C. Grill
83,S. Pedulla
84,J. Poulakidas
85,D. Garcia
86,I. Nogues
87,L. Butler
88,M. Diawara
89,K. Johnson
90,K. Richmond
91,J. Pierre
92,C. Jones
93,N. Omier
94,C. McMillian
95,K. Gilbert
96,N. Santos
97,Z. Zeigler
98,M. Kelly
99,E. Ndiaye
100,J. Neal
101,R. Davis
102,M. Omier
103,J. Mashack
104,Z. Mayo
105,L. Cryer
106,G. Madsen
107,M. Murrell
108,M. Cleveland
109,J. Telfort
110,A. Kaluma
111,A. Carr
112,J. Davis
113,S. Johnson
114,P. McCaffery
115,C. Hawkins
116,T. Hunter
117,S. Settle III
118,K. Shedrick

