name,,club,age,height,weight,wingspan,length,bmi,off_pos,def_pos,headshot,logo
Matas Buzelis,M. Buzelis,G League Ignite,19.7,"6'8.75""",197 lbs,"6'10""",1.25,21.2,,,https://m.basketnews.com/image-400932-vbg.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/NBA_G_League_Ignite_logo_%282022%29.svg/1200px-NBA_G_League_Ignite_logo_%282022%29.svg.png
Cody Williams,C. Williams,Colorado,19.6,"6'6.5""",178 lbs,"7'1""",6.5,20.3,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4895758.png,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Zaccharie Risacher,Z. Risacher,JL Bourg,19.2,"6'9""",210 lbs,"6'10.5""",1.5,22.5,,,https://res.cloudinary.com/djcqmdgda/image/upload/nba/prospects/headshots/108206.png,https://upload.wikimedia.org/wikipedia/en/5/5c/JL_Bourg_Basket_logo.png
Isaiah Collier,I. Collier,USC,19.7,"6'2.5""",205 lbs,"6'4.75""",2.25,26,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4683766.png,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png
Stephon Castle,S. Castle,UConn,19.6,"6'5.5""",210 lbs,"6'9""",3.5,24.6,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4845367.png,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
Ron Holland,R. Holland,G League Ignite,18.9,"6'6.5""",197 lbs,"6'10.75""",4.25,22.5,,,https://res.cloudinary.com/djcqmdgda/image/upload/nba/prospects/headshots/108202.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/NBA_G_League_Ignite_logo_%282022%29.svg/1200px-NBA_G_League_Ignite_logo_%282022%29.svg.png
Alexandre Sarr,A. Sarr,Perth,19.1,"6'11.75""",224 lbs,"7'4.25""",4.5,22.4,,,https://basketball.realgm.com/images/nba/4.2/wiretap/photos/2006/Sarr_Alexandre_aus_231205.jpg,https://www.sportsmedsubiaco.com.au/wp-content/uploads/2020/01/sportsmed-subiaco-sporting-affiliations-perth-wildcats.png
Rob Dillingham,R. Dillingham,Kentucky,19.4,"6'1""",164 lbs,"6'3""",2,21.6,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684275.png,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
Reed Sheppard,R. Sheppard,Kentucky,20,"6'1.75""",182 lbs,"6'3.25""",1.5,23.5,Guard,Guard,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4711272.png,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
Ryan Dunn,R. Dunn,Virginia,21.4,"6'6.25""",214 lbs,"7'1.5""",7.25,24.6,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4888725.png,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png
Nikola Topic,N. Topic,Crvena Zvezda,18.8,"6'6""",201 lbs,"7'0""",6,23.2,,,https://res.cloudinary.com/djcqmdgda/image/upload/nba/prospects/headshots/108210.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Grb-fk-crvena-zvezda.svg/800px-Grb-fk-crvena-zvezda.svg.png
Dalton Knecht,D. Knecht,Tennessee,23.2,"6'5.25""",212 lbs,"6'9""",3.75,25,Wing,Guard,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4897943.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
Carlton Carrington,C. Carrington,Pitt,18.9,"6'3.75""",195 lbs,"6'8""",4.25,23.9,Guard,Guard,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4845374.png,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png
Johnny Furphy,J. Furphy,Kansas,19.5,"6'7.5""",189 lbs,"6'8""",0.5,21,Wing,Wing,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5157066.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Tidjane Salaun,T. Salaun,Cholet Basket,18.8,"6'9""",212 lbs,"7'1""",4,22.7,Forward,Forward,https://res.cloudinary.com/djcqmdgda/image/upload/nba/prospects/headshots/108207.png,https://upload.wikimedia.org/wikipedia/en/f/f8/Cholet_Basket_2019_logo.png
Donovan Clingan,D. Clingan,UConn,20.3,"7'1.75""",282 lbs,"7'6.75""",5,27,Big,Big,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5105565.png,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
Nikola Djurisic,N. Djurisic,Mega Basket,20.3,"6'7""",209 lbs,"6'8""",1,23.5,Wing,Wing,https://eurospects.com/wp-content/uploads/2022/02/Nikola-Djurisic-photo.png,https://upload.wikimedia.org/wikipedia/en/d/da/Mega-logo-2020.png
Baba Miller,B. Miller,Florida St,20.4,"6'10""",188 lbs,"7'2""",4,19.7,Forward,Forward,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5075626.png,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png
