"Player","avg","min","max"
"Victor Wembanyama",1,1,1
"Brandon Miller",2.6,2,4
"Scoot Henderson",2.7,2,4
"Amen Thompson",4.4,3,9
"Cam Whitmore",5.8,4,9
"Ausar Thompson",6.5,5,10
"Jarace Walker",6.8,3,9
"Anthony Black",8.7,5,16
"Taylor Hendricks",9.1,6,14
"Cason Wallace",11.1,7,17
"Gradey Dick",11.7,9,19
"Keyonte George",13.2,7,18
"Kobe Bufkin",15.3,10,22
"Dereck Lively II",15.4,10,20
"Nick Smith Jr.",16.9,10,36
"Jordan Hawkins",17.6,11,25
"Jett Howard",18.2,12,24
"Leonard Miller",19.7,12,29
"Jalen Hood-Schifino",20.0909090909091,9,41
"Bilal Coulibaly",20.9,12,33
"Brice Sensabaugh",21.1,14,27
"GG Jackson",23.7,16,33
"Maxwell Lewis",24.1,15,34
"Kris Murray",24.4,16,30
"Dariq Whitehead",25,16,35
"Rayan Rupert",26.6,17,36
"Colby Jones",27.2222222222222,17,33
"Noah Clowney",27.3,20,37
"Brandin Podziemski",29.7142857142857,20,44
"James Nnaji",30.1,21,42
"Sidy Cissoko",30.7,15,44
"Riley Kugel",32,32,32
"Bobi Klintman",33.625,15,53
"Tucker DeVries",34,34,34
"Marcus Sasser",36,27,52
"Julian Strawther",36.8,24,56
"Andre Jackson",37.2,30,54
"Trayce Jackson-Davis",37.3,26,54
"Jaime Jaquez Jr.",38.3636363636364,28,53
"Tristan Vukcevic",38.75,35,47
"Terquavion Smith",39.6,31,50
"Jordan Walsh",39.8888888888889,31,49
"Olivier-Maxence Prosper",40,18,57
"Tyler Burton",40,40,40
"Adem Bona",41,34,52
"Julian Phillips",41,33,56
"Amari Bailey",42.4285714285714,28,50
"Arthur Kaluma",43,43,43
"Ousmane N'Diaye",43,43,43
"Trey Alexander",43.2,37,48
"Ben Sheppard",43.2857142857143,29,58
"Jalen Wilson",43.6666666666667,29,56
"Kobe Brown",43.75,25,55
"Judah Mintz",43.8,29,55
"DaRon Holmes II",44.75,34,55
"Mike Miles Jr.",45,44,47
"Ryan Kalkbrenner",45,45,45
"Terrence Shannon Jr.",45.375,38,56
"Kevin McCullar Jr.",46,42,51
"Reece Beekman",46.4,41,58
"Nikola Djurisic",47.3333333333333,38,60
"Keyontae Johnson",48,34,58
"Jaylen Clark",48.4,44,56
"Grant Nelson",49,49,49
"Oso Ighodaro",49,49,49
"Ricky Council IV",49,43,53
"Seth Lundy",49,46,52
"Dillon Mitchell",49.25,41,58
"Juan Nunez",50,50,50
"Zach Edey",50.75,47,57
"Jalen Slawson",51,47,55
"Mouhamed Gueye",51,46,58
"Omari Moore",51,51,51
"Coleman Hawkins",51.3333333333333,44,56
"Mojave King",52,52,52
"Toumani Camara",52.3333333333333,49,54
"D'Moi Hodge",53,51,55
"Nae'Qwan Tomlin",53,53,53
"Isaiah Wong",53.6666666666667,48,59
"Tosan Evbuowan",54,54,54
"Emoni Bates",54.1428571428571,48,62
"Jordan Miller",54.5,52,56
"Adama Sanogo",56,56,56
"Drew Timme",56,55,57
"Adam Flagler",57,57,57
"Hunter Tyson",57,57,57
"Jazian Gortman",57,57,57
"Sir'Jabari Rice",57,57,57
NA,57.125,42,62
"Dillon Jones",58,58,58
"Oscar Tshibwe",58,58,58
"Jalen Pickett",61,61,61
