"Player","n_rank","rows","maxx","m_pick"
"Victor Wembanyama",10,70,1,1
"Scoot Henderson",10,70,3,3
"Brandon Miller",10,70,4,4
"Amen Thompson",10,70,7,7
"Cam Whitmore",10,70,7,7
"Jarace Walker",10,70,7,7
"Ausar Thompson",10,70,9,9
"Anthony Black",10,70,10,10
"Taylor Hendricks",10,70,14,14
"Cason Wallace",10,70,17,17
"Gradey Dick",10,70,18,18
"Dereck Lively II",10,70,19,19
"Bilal Coulibaly",10,70,20,20
"Jalen Hood-Schifino",10,70,21,21
"Jordan Hawkins",10,70,22,22
"Kobe Bufkin",10,70,22,22
"Keyonte George",10,70,26,26
"Nick Smith Jr.",10,70,26,26
"Jett Howard",10,70,27,27
"Leonard Miller",10,70,27,27
"Kris Murray",10,70,30,30
"Brice Sensabaugh",10,70,32,32
"Dariq Whitehead",10,70,35,35
"Maxwell Lewis",10,70,35,35
"Noah Clowney",10,70,35,35
"GG Jackson",10,70,36,36
"Rayan Rupert",10,70,36,36
"Ben Sheppard",9,70,41,41
"Brandin Podziemski",9,70,42,42
"James Nnaji",10,70,42,42
"Marcus Sasser",10,70,43,43
"Olivier-Maxence Prosper",10,70,43,43
"Sidy Cissoko",10,70,44,44
"Trayce Jackson-Davis",9,70,45,45
"Jaime Jaquez Jr.",10,70,46,46
"Amari Bailey",9,70,47,47
"Julian Phillips",10,70,47,47
"Julian Strawther",10,70,47,47
"Colby Jones",9,70,48,48
"Andre Jackson",10,70,49,49
"Hunter Tyson",2,70,49,49
"Kobe Brown",9,70,49,49
"Jalen Wilson",10,70,51,51
"Jordan Walsh",10,70,53,53
"Seth Lundy",8,70,53,53
"Nikola Djurisic",6,70,54,54
"Jalen Pickett",4,70,55,55
"Adama Sanogo",5,70,57,57
"D'Moi Hodge",2,70,57,57
"Jalen Slawson",4,70,58,58
"Jaylen Clark",7,70,58,58
"Jordan Miller",8,70,58,58
"Oscar Tshiebwe",3,70,58,58
"Tristan Vukcevic",8,70,58,58
"Colin Castleton",5,70,59,59
"Isaiah Wong",5,70,59,59
"Adam Flagler",4,70,60,60
"Chris Livingston",3,70,60,60
"Jazian Gortman",2,70,60,60
"Terquavion Smith",10,70,61,61
"Mike Miles Jr.",5,70,62,62
"Mouhamed Gueye",8,70,63,63
"Ricky Council IV",9,70,63,63
"Mojave King",2,70,64,64
"Sir'Jabari Rice",4,70,64,64
"Azuolas Tubelis",4,70,65,65
"Omari Moore",2,70,66,66
"Craig Porter Jr.",2,70,67,67
"Toumani Camara",7,70,67,67
"Emoni Bates",9,70,69,69
"Keyontae Johnson",9,70,69,69
"Charles Bediako",1,70,54,70
"Chris Lingston",1,70,50,70
"Darious McGhee",1,70,68,70
"Drem Timme",1,70,57,70
"Drew Timme",1,70,50,70
"Juan Nunez",1,70,68,70
"Justyn Mutts",1,70,62,70
"Lander Nolley II",1,70,70,70
"Landers Nolley",1,70,65,70
"Liam Robbins",1,70,66,70
"Nadir Hifi",1,70,54,70
"Ousmane N'Diaye",1,70,42,70
"Reece Beekman",1,70,40,70
"Riley Kugel",1,70,32,70
"Tosan Evbuomwan",1,70,54,70
"Trayce Jackson=Davis",1,70,34,70
"Tucker DeVries",1,70,34,70
"Tyler Burton",1,70,39,70
NA,111,70,70,70
