difficulty,split,type,fg3a,fga
Easier,Pre-injury,C&S,358,1558
Easier,Pre-injury,Open,355,1558
Easier,Pre-injury,Corner,110,1558
Harder,Pre-injury,Pullup,8,1558
Harder,Pre-injury,Guarded,13,1558
Harder,Pre-injury,AB,257,1558
Easier,Post-injury,C&S,172,590
Easier,Post-injury,Open,172,590
Easier,Post-injury,Corner,65,590
Harder,Post-injury,Pullup,3,590
Harder,Post-injury,Guarded,5,590
Harder,Post-injury,AB,112,590
Easier,Post-All Star '23,C&S,78,255
Easier,Post-All Star '23,Open,75,255
Easier,Post-All Star '23,Corner,42,255
Harder,Post-All Star '23,Pullup,1,255
Harder,Post-All Star '23,Guarded,4,255
Harder,Post-All Star '23,AB,37,255
